127.0.0.1 - - [09/Dec/2022:13:50:18 +0900] "GET / HTTP/1.1" 200 22327
0:0:0:0:0:0:0:1 - - [09/Dec/2022:13:50:19 +0900] "GET / HTTP/1.1" 200 22327
0:0:0:0:0:0:0:1 - - [09/Dec/2022:13:50:19 +0900] "GET /resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:13:50:54 +0900] "GET / HTTP/1.1" 200 22327
0:0:0:0:0:0:0:1 - - [09/Dec/2022:13:50:54 +0900] "GET /resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:13:52:01 +0900] "GET / HTTP/1.1" 200 22371
0:0:0:0:0:0:0:1 - - [09/Dec/2022:13:52:01 +0900] "GET /resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:13:52:01 +0900] "GET / HTTP/1.1" 200 22371
0:0:0:0:0:0:0:1 - - [09/Dec/2022:13:52:01 +0900] "GET /resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:13:52:01 +0900] "GET / HTTP/1.1" 200 22371
0:0:0:0:0:0:0:1 - - [09/Dec/2022:13:52:01 +0900] "GET /resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:13:52:31 +0900] "GET / HTTP/1.1" 200 22368
0:0:0:0:0:0:0:1 - - [09/Dec/2022:13:52:31 +0900] "GET /resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:13:52:32 +0900] "GET / HTTP/1.1" 200 22368
0:0:0:0:0:0:0:1 - - [09/Dec/2022:13:52:32 +0900] "GET /resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:13:53:01 +0900] "GET / HTTP/1.1" 200 22368
0:0:0:0:0:0:0:1 - - [09/Dec/2022:13:53:01 +0900] "GET /resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:13:53:02 +0900] "GET / HTTP/1.1" 200 22368
0:0:0:0:0:0:0:1 - - [09/Dec/2022:13:53:02 +0900] "GET /resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:13:53:03 +0900] "GET / HTTP/1.1" 200 22368
0:0:0:0:0:0:0:1 - - [09/Dec/2022:13:53:03 +0900] "GET /resources/css/normalize.css HTTP/1.1" 404 721
